x,y,z
-0.00444975,0.00526399,0
0.0284085,0.0181363,0
0.0533902,0.0171475,0
0.0783597,0.0160062,0
0.103335,0.0149075,0
0.128305,0.0136746,0
0.153274,0.0124539,0
0.178238,0.011099,0
0.203201,0.00973177,0
0.228158,0.00823641,0
0.253109,0.00671053,0
0.278055,0.00506258,0
0.303,0.0033719,0
0.327932,0.00156526,0
0.352865,-0.000290205,0
0.377786,-0.00224638,0
0.402707,-0.00425139,0
0.427621,-0.0063632,0
0.452524,-0.00853911,0
0.47742,-0.0108249,0
0.50231,-0.0131839,0
0.527182,-0.0156619,0
0.552054,-0.0182193,0
0.576907,-0.0208987,0
0.601754,-0.0236667,0
0.62659,-0.0265597,0
0.651407,-0.0295474,0
0.676211,-0.0326633,0
0.701004,-0.0358798,0
0.725778,-0.0392306,0
0.75054,-0.0426822,0
0.775284,-0.0462741,0
0.800003,-0.0499972,0
0.850003,-0.0999972,0
0.900003,-0.149997,0
0.938101,-0.155301,0
0.954031,-0.174567,0
0.968539,-0.194928,0
0.982766,-0.215482,0
0.996957,-0.236066,0
1.01198,-0.256046,0
1.02688,-0.276123,0
1.04162,-0.296317,0
1.05677,-0.316202,0
1.0718,-0.336182,0
1.08673,-0.356226,0
1.10191,-0.37609,0
1.11698,-0.396042,0
1.13203,-0.416004,0
1.14706,-0.435981,0
1.16216,-0.455905,0
1.17725,-0.475833,0
1.19232,-0.495783,0
1.20746,-0.515683,0
1.22257,-0.535596,0
1.23767,-0.555521,0
1.25282,-0.575412,0
1.26794,-0.595316,0
1.28307,-0.615226,0
1.29818,-0.635138,0
1.31331,-0.655036,0
1.32845,-0.674933,0
1.34357,-0.694843,0
1.35871,-0.714734,0
1.37385,-0.734632,0
1.38898,-0.754535,0
1.40412,-0.774424,0
1.41926,-0.794321,0
1.4344,-0.814221,0
1.44952,-0.834122,0
1.46466,-0.854019,0
1.4798,-0.873911,0
1.49494,-0.893808,0
1.51009,-0.91369,0
